Rank,Region,Player Name,Champion 1,Champion 2,Champion 3,Region 1,Region 2,Deck Code,Mobalytics Link
1st,Americas,Aikado #Awoo,Draven,Ezreal,,Noxus,Piltover & Zaun,CQCQCAQDBEAQGBARAECAIEACAEBRILQDAECCIJRUAUAQCAZTAEBQGDIBAQBQUAIFBKMACAYBAQNR6JYCAEAQIAIBAUBQS,https://lor.mobalytics.gg/decks/code/CQCQCAQDBEAQGBARAECAIEACAEBRILQDAECCIJRUAUAQCAZTAEBQGDIBAQBQUAIFBKMACAYBAQNR6JYCAEAQIAIBAUBQS
1st,Americas,Aikado #Awoo,Nami,Zoe,,Bilgewater,Targon,CICACAQGDAAQGBQRAICQMBILAYBQSCJDFAZWFVYBAMAQEBRNAEBQSKQBAQDA4AQCAIDB2KYCAMEVKWY,https://lor.mobalytics.gg/decks/code/CICACAQGDAAQGBQRAICQMBILAYBQSCJDFAZWFVYBAMAQEBRNAEBQSKQBAQDA4AQCAIDB2KYCAMEVKWY
1st,Americas,Aikado #Awoo,Poppy,Lulu,,Demacia,Ionia,CQDACAYABYAQIAACAECQUKICAEBAMOICAMBAECQEAEAASCYVDUBACAICBQAQEAAHAIAQGAQUAIAQEEIW,https://lor.mobalytics.gg/decks/code/CQDACAYABYAQIAACAECQUKICAEBAMOICAMBAECQEAEAASCYVDUBACAICBQAQEAAHAIAQGAQUAIAQEEIW
1st,Americas,Xeloo#LAS,Fizz,Poppy,,Noxus,Bandle City,CQBQCAIDG4AQEBROA4CQUKLUQQA2MANHAGXQDQQBAIAQEAYJAUCQUAI2TAA2AAOAAEAQCAYDBU,https://lor.mobalytics.gg/decks/code/CQBQCAIDG4AQEBROA4CQUKLUQQA2MANHAGXQDQQBAIAQEAYJAUCQUAI2TAA2AAOAAEAQCAYDBU
1st,Americas,Xeloo#LAS,Sejuani,Gangplank,,Freljord,Bilgewater,CICACAQBAIAQGBQIAECAMCQGAIDAWIBBFU5DYAIFAIDAEBAUEITAEAIEAEFAEAQGCIOQ,https://lor.mobalytics.gg/decks/code/CICACAQBAIAQGBQIAECAMCQGAIDAWIBBFU5DYAIFAIDAEBAUEITAEAIEAEFAEAQGCIOQ
1st,Americas,Xeloo#LAS,Sivir,Akshan,,Demacia,Shurima,CMBQCAYABYBACAAJDUDAIBYUGZTYAAMBAGBACBABAEABUAICAAAQCBAAAIBQIBYNLWFACAIBAQAAG,https://lor.mobalytics.gg/decks/code/CMBQCAYABYBACAAJDUDAIBYUGZTYAAMBAGBACBABAEABUAICAAAQCBAAAIBQIBYNLWFACAIBAQAAG
1st,Americas,XxWhatamixX#NA1,Lulu,Poppy,,Demacia,Bandle City,CQCQCAQAA4AQGAAOAEBQEAQDAEAASFI5AUCQUKLUU4A26APLAEBACBAAAIBAKCTAN4AQCAIAEU,https://lor.mobalytics.gg/decks/code/CQCQCAQAA4AQGAAOAEBQEAQDAEAASFI5AUCQUKLUU4A26APLAEBACBAAAIBAKCTAN4AQCAIAEU
1st,Americas,XxWhatamixX#NA1,Draven,Sion,,Noxus,Piltover & Zaun,CQCACAIDCQAQKCUYAEBQKAYBBEGQIAIEEYTS2NAEAEAQGIYBAECACAIDAQJACBAECABQCAIDBMBAGAYNB4BAKAYEAY,https://lor.mobalytics.gg/decks/code/CQCACAIDCQAQKCUYAEBQKAYBBEGQIAIEEYTS2NAEAEAQGIYBAECACAIDAQJACBAECABQCAIDBMBAGAYNB4BAKAYEAY
1st,Americas,XxWhatamixX#NA1,Nami,Zoe,,Bilgewater,Targon,CICQCAQGDAAQGBQRAECAMDQCAUDAKCYHAMEQSIZIFIZWFVYBAEAQGCKVAIAQEBQ5AEBQSWY,https://lor.mobalytics.gg/decks/code/CICQCAQGDAAQGBQRAECAMDQCAUDAKCYHAMEQSIZIFIZWFVYBAEAQGCKVAIAQEBQ5AEBQSWY
1st,Americas,KevinLoR#1414,Sejuani,Gangplank,,Freljord,Bilgewater,CICACAQBAIAQGBQIAECAMCQHAIDAWIBBEIWTUPABAQBAMAQFCQTAEAICAYJACAYBCY,https://lor.mobalytics.gg/decks/code/CICACAQBAIAQGBQIAECAMCQHAIDAWIBBEIWTUPABAQBAMAQFCQTAEAICAYJACAYBCY
